;District RUS;Region RUS;Район RUS;City RUS;ШИРОТА google;ДОЛГОТА google;Актуален М;Актуален В;Актуален Е;;
3256;СЗФО;Архангельская область;Лешуконский;Лешуконское;64.9;45.766;0;0;1;1;1
3271;ЦФО;Липецкая область;Липецкий;Липецк;52.616;39.583;1;1;1;3;1
3388;УФО;Тюменская область;;Луговой[ТЮМ];61.06;68.5;0;1;0;1;1
3421;ДФО;Магаданская область;;Магадан;59.56666667;150.8;0;1;1;2;1
3425;ДФО;Амурская область;Магдагачинский;Магдагачи;53.466;125.816;0;1;1;2;1
3426;УФО;Челябинская область;;Магнитогорск;53.38333333;59.03333333;0;1;1;2;1
3431;ДФО;Амурская область;Тындинский;Майский;54.183;124.483;0;0;1;1;1
3479;СФО;Красноярский край;Енисейский;Маковское;58.183;90.883;0;0;1;1;1
3497;СФО;Иркутская область;Мамско-Чуйский;Мама;58.316;112.866;0;1;1;2;1
3513;СФО;Алтайский край;Мамонтовский;Мамонтово;52.716;81.616;0;0;1;1;1
3519;СФО;Забайкальский край;Кыринский;Мангут;49.7;112.65;0;1;0;1;1
3525;СФО;Кемеровская область;Мариинский;Мариинск;56.216;87.75;0;1;1;2;1
3529;ПФО;Республика Марий Эл;Мари-Турекский;Мари-Турек;56.783;49.616;0;0;1;1;1
3536;СФО;Иркутская область;Иркутский;Марково;52.216;104.216;0;1;0;1;1
3556;ДФО;Приморский край;Лесозаводский;Марково;45.55;133.35;0;0;1;1;1
3590;ЦФО;Рязанская область;Новодеревенский;Мары;53.583;40.366;0;1;0;1;1
м;ЦФО;Тульская область;Белевский;Маслово;54.1989;37.514;1;0;0;1;1
3591;СФО;Новосибирская область;Маслянинский;Маслянино;54.333;84.216;0;1;0;1;1
3618;СКФО;Республика Дагестан;Махачкалинский;Махачкала;42.966;47.5;0;1;1;2;1
3669;СЗФО;Архангельская область;Мезенский;Мезень;65.866;44.216;0;0;1;1;1
3683;ПФО;Республика Татарстан;Мензелинский;Мензелинск;55.716;53.66;0;0;1;1;1
3688;ЮФО;Ростовская область;Миллеровский;Миллерово;48.933;40.383;0;1;0;1;1
3690;ДФО;Приморский край;Ольгинский;Милоградово;43.3;134.6;0;0;1;1;1
3693;ЮФО;Ростовская область;Милютинский;Милютинская;48.633;41.666;0;1;0;1;1
